num_cands,num_voters,num_profiles,pm,vm,avg_cw_rank,avg_perc_cw_rank,perc_cw_rank_first,avg_cl_rank,avg_perc_cl_rank,perc_cl_rank_last,avg_num_ranks,perc_linear_rank
4,"(1000, 1001)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.998946285656941,99.97365714142352,1.0,3.97714,0.9776
4,"(1000, 1001)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.782157103790863,94.55392759477157,1.0,3.48132,0.7186
4,"(1000, 1001)",50000,IC,Plurality Ranking,1.4516966715773179,36.29241678943294,0.6392419286374191,3.4377681326676535,85.94420331669134,0.6266087960059209,3.89314,0.89552
4,"(1000, 1001)",50000,IC,Borda Ranking,1.1165072785837349,27.91268196459337,0.8767260106369698,3.8412403723124013,96.03100930781002,0.8698411901954389,3.95816,0.95858
4,"(1000, 1001)",50000,IC,Minimax Ranking,1.0,25.0,1.0,3.4770817130384604,86.92704282596151,0.6188313806166738,3.8824,0.88526
4,"(5000, 5001)",50000,IC,Stable Voting Ranking,1.0,25.0,1.0,3.9997800425251118,99.9945010631278,1.0,3.99104,0.99106
4,"(5000, 5001)",50000,IC,Copeland Ranking,1.0,25.0,1.0,3.774494708800743,94.36236772001857,1.0,3.47548,0.72818
4,"(5000, 5001)",50000,IC,Plurality Ranking,1.5106965726552668,37.76741431638167,0.6215856095936043,3.4174548476183495,85.43637119045873,0.6108463474839309,3.95132,0.95178
4,"(5000, 5001)",50000,IC,Borda Ranking,1.1270264268265602,28.175660670664,0.8728008488168382,3.863137571180683,96.57843927951707,0.8785834738617201,3.98094,0.98104
4,"(5000, 5001)",50000,IC,Minimax Ranking,1.0,25.0,1.0,3.52799569860938,88.1998924652345,0.6362147762543686,3.94566,0.94624
5,"(4, 5)",50000,IC,Stable Voting Ranking,1.0,20.0,1.0,4.710850549041504,94.21701098083008,1.0,4.24842,0.4733
5,"(4, 5)",50000,IC,Copeland Ranking,1.0,20.0,1.0,4.432719151312116,88.65438302624233,1.0,4.13338,0.44826
5,"(4, 5)",50000,IC,Plurality Ranking,1.1314090672998443,22.628181345996882,0.6651331898790532,2.6221849990694213,52.44369998138843,0.15000930578820026,2.81156,0.0
5,"(4, 5)",50000,IC,Borda Ranking,1.0520516435408473,21.04103287081695,0.865956815314981,4.31178112786153,86.2356225572306,0.8621998883305416,4.24478,0.4011
5,"(4, 5)",50000,IC,Minimax Ranking,1.0,20.0,1.0,2.8219244369998138,56.43848873999628,0.33634840871021776,2.7954,0.0
